Word1,Word2,Word1_Freq,Word2_Freq,Bigram_Freq
part,chapter,524,172,9
july,man,8,2546,1
young,man,776,2546,234
lodge,place,84,704,1
place,walk,704,563,1
avoid,meet,111,508,1
avoid,landlady,111,98,1
meet,landlady,508,98,1
landlady,staircase,98,55,1
staircase,garret,55,20,1
high,house,285,888,1
cupboard,room,35,1129,2
room,landlady,1129,98,2
landlady,provide,98,57,1
provide,garret,57,20,1
garret,dinner,20,124,1
dinner,attendance,124,8,1
live,floor,606,177,1
oblige,pass,60,521,2
pass,kitchen,521,66,1
kitchen,door,66,750,3
time,pass,2625,521,18
man,sick,2546,120,2
scowl,feel,26,533,1
debt,landlady,67,98,2
afraid,meet,541,508,1
time,past,2625,187,17
irritable,condition,58,163,2
irritable,verge,58,10,1
condition,verge,163,10,1
verge,hypochondria,10,4,1
become,absorb,598,28,2
isolate,fellow,4,375,1
fellow,dread,375,58,1
dread,meeting,58,138,1
landlady,anyone,98,277,1
crush,poverty,110,54,1
anxiety,position,95,283,1
cease,weigh,106,54,1
attend,matter,26,609,2
matter,importance,609,70,11
practical,importance,36,70,1
nothing,landlady,1567,98,1
real,terror,215,141,1
stop,stair,411,129,1
force,listen,196,702,3
trivial,irrelevant,39,19,2
trivial,gossip,39,45,1
irrelevant,gossip,19,45,1
gossip,pester,45,19,1
pester,demand,19,64,1
pester,payment,19,20,1
demand,payment,64,20,2
payment,threat,20,23,1
threat,complaint,23,25,1
rack,brain,9,127,3
brain,excuse,127,195,1
excuse,prevaricate,195,3,1
prevaricate,lie,3,568,1
creep,stair,33,129,1
stair,cat,129,15,1
cat,slip,15,94,1
street,become,297,598,1
aware,fear,123,204,1
want,attempt,1315,106,1
attempt,thing,106,1295,1
odd,smile,22,734,1
smile,hm,734,34,2
man,hand,2546,1662,5
slip,cowardice,94,12,1
new,step,511,419,1
new,utter,511,169,1
step,utter,419,169,1
utter,word,169,1439,58
new,word,511,1439,3
learn,chatter,199,41,1
chatter,month,41,356,1
last,month,1586,356,42
last,lie,1586,568,1
month,lie,356,568,4
lie,day,568,1711,1
fantasy,amuse,13,85,1
heat,street,43,297,1
airlessness,bustle,1,17,1
bustle,plaster,17,4,1
plaster,scaffold,4,21,1
scaffold,brick,21,20,1
brick,dust,20,27,1
special,petersburg,167,323,1
special,stench,167,8,1
petersburg,stench,323,8,1
town,summer,549,70,1
summer,work,70,382,1
overwrought,nerve,5,38,3
insufferable,stench,15,8,1
numerous,part,24,524,2
part,town,524,549,5
complete,revolt,152,34,1
complete,misery,152,45,1
revolt,misery,34,45,1
misery,picture,45,115,1
picture,expression,115,318,1
expression,profound,318,47,1
profound,disgust,47,65,1
profound,gleam,47,47,1
disgust,gleam,65,47,1
gleam,moment,47,1301,2
man,refine,2546,11,1
refine,face,11,1410,1
way,handsome,1198,49,1
average,height,5,35,2
height,slim,35,7,1
beautiful,dark,100,208,1
beautiful,eye,100,1211,5
dark,eye,208,1211,15
dark,dark,208,208,1
eye,dark,1211,208,1
eye,brown,1211,16,1
dark,brown,208,16,10
dark,hair,208,166,12
brown,hair,16,166,6
sink,deep,142,122,3
sink,thought,142,549,9
deep,thought,122,549,9
complete,blankness,152,2,1
complete,mind,152,851,1
blankness,mind,2,851,1
mind,walk,851,563,2
walk,observe,563,415,1
care,observe,288,415,1
time,time,2625,2625,34
mutter,something,297,1444,15
habit,talk,86,1065,3
moment,become,1301,598,6
conscious,idea,92,798,1
taste,food,59,34,2
man,accustom,2546,24,3
man,shabbiness,2546,1,1
accustom,shabbiness,24,1,1
street,rag,297,82,1
quarter,town,105,549,2
dress,create,285,47,1
create,surprise,47,347,1
create,owe,47,90,1
surprise,owe,347,90,1
owe,proximity,90,3,1
proximity,hay,3,29,1
hay,market,29,45,20
market,number,45,120,1
number,establishment,120,21,1
establishment,character,21,219,1
bad,character,376,219,1
character,preponderance,219,1,1
preponderance,trading,1,1,1
trading,work,1,382,1
trading,class,1,105,1
work,class,382,105,1
